Index,Criteria,Weight (from 0 to 100),Preferable Condition,Calculation Method,,
5YrR,5Y Performance,11,HIGH,Taken directly,,
3YrR,3Y Performance,11,HIGH,Taken directly,,
1YrR,1Y Performance,10,HIGH,Taken directly,,
YTDR,YTD Performance,9,HIGH,Taken directly,,
26WR,26 Week Return (Semiannual),9,HIGH,Taken directly,,
13WR,13 Week Return (Quarter),8,HIGH,Taken directly,,
4WR,4 Week Return (Month),4,HIGH,Taken directly,,
POverall,Overall Performance,13,HIGH,Composite Score from Above,,
Risk200,200 Day Volatility,10.5,LOW,Taken directly,,
Risk50,50 Day Volatility,8,LOW,Taken directly,,
ROverall,Overall Volatility,10,LOW,Taken directly,,
ESG,ESG Score,10,HIGH,ESG Score * 10 + ESG Percentile,,
ER,Expense Ratio,8,LOW,Taken directly,,
Beta,Beta,5,LOW,Taken directly,,
